Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
220,AARTIIND,Aarti Industries Limited,1878315,MIDCAP
221,HATSUN,Hatsun Agro Product Limited,1876431,MIDCAP
222,CARBORUNIV,Carborundum Universal Limited,1871932,MIDCAP
223,CROMPTON,Crompton Greaves Consumer Electricals Limited,1863440,MIDCAP
224,VINATIORGA,Vinati Organics Limited,1858711,MIDCAP
225,IIFL,IIFL Finance Limited,1855993,MIDCAP
226,BATAINDIA,Bata India Limited,1822970,MIDCAP
227,BDL,Bharat Dynamics Limited,1812102,MIDCAP
228,LICHSGFIN,LIC Housing Finance Limited,1808332,MIDCAP
229,RAJESHEXPO,Rajesh Exports Limited,1801381,MIDCAP
230,RAMCOCEM,The Ramco Cements Limited,1787906,MIDCAP
231,ENDURANCE,Endurance Technologies Limited,1746540,MIDCAP
232,DEVYANI,Devyani International Limited,1742977,MIDCAP
233,PSB,Punjab & Sind Bank,1738502,MIDCAP
234,DIXON,Dixon Technologies (India) Limited,1704195,MIDCAP
235,KAJARIACER,Kajaria Ceramics Limited,1678789,MIDCAP
236,WHIRLPOOL,Whirlpool of India Limited,1668428,MIDCAP
237,MAHABANK,Bank of Maharashtra,1665798,MIDCAP
238,SUNTV,Sun TV Network Limited,1638801,MIDCAP
239,PEL,Piramal Enterprises Limited,1618975,MIDCAP
240,PRESTIGE,Prestige Estates Projects Limited,1616274,MIDCAP
241,NIACL,The New India Assurance Company Limited,1603504,MIDCAP
242,RADICO,Radico Khaitan Limited,1596867,MIDCAP
243,PFIZER,Pfizer Limited,1586142,MIDCAP
244,NH,Narayana Hrudayalaya Ltd.,1582059,MIDCAP
245,EMAMILTD,Emami Limited,1581743,MIDCAP
246,LAURUSLABS,Laurus Labs Limited,1577978,MIDCAP
247,FIVESTAR,Five-Star Business Finance Limited,1575125,MIDCAP
248,AJANTPHARM,Ajanta Pharma Limited,1548777,MIDCAP
249,INDIAMART,Indiamart Intermesh Limited,1536775,MIDCAP
250,360ONE,360 ONE WAM LIMITED,1533603,MIDCAP
251,KEI,KEI Industries Limited,1532054,MIDCAP
252,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1529252,MIDCAP
253,LALPATHLAB,Dr. Lal Path Labs Ltd.,1524048,MIDCAP
254,JSL,Jindal Stainless Limited,1522886,MIDCAP
255,IRB,IRB Infrastructure Developers Limited,1518809,MIDCAP
256,EXIDEIND,Exide Industries Limited,1512575,MIDCAP
257,PVR,PVR Limited,1502596,MIDCAP
258,GSPL,Gujarat State Petronet Limited,1495160,MIDCAP
259,BLUEDART,Blue Dart Express Limited,1474205,MIDCAP
260,NATIONALUM,National Aluminium Company Limited,1439919,MIDCAP
261,RVNL,Rail Vikas Nigam Limited,1430324,MIDCAP
262,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1429656,MIDCAP
263,TRIDENT,Trident Limited,1424320,MIDCAP
264,POWERINDIA,Hitachi Energy India Limited,1416989,MIDCAP
265,MEDANTA,Global Health Limited,1413200,MIDCAP
266,GILLETTE,Gillette India Limited,1406411,MIDCAP
267,RATNAMANI,Ratnamani Metals & Tubes Limited,1389118,MIDCAP
268,ELGIEQUIP,Elgi Equipments Limited,1388537,MIDCAP
269,ISEC,ICICI Securities Limited,1382035,MIDCAP
270,CGCL,Capri Global Capital Limited,1362980,MIDCAP
271,GODREJIND,Godrej Industries Limited,1359514,MIDCAP
272,CLEAN,Clean Science and Technology Limited,1346986,MIDCAP
273,MAZDOCK,Mazagon Dock Shipbuilders Limited,1337306,MIDCAP
274,MAHINDCIE,Mahindra CIE Automotive Limited,1330803,MIDCAP
275,AEGISCHEM,Aegis Logistics Limited,1330115,MIDCAP
276,FACT,Fertilizers and Chemicals Travancore Limited,1329086,MIDCAP
277,BLUESTARCO,Blue Star Limited,1328313,MIDCAP
278,SANOFI,Sanofi India Limited,1320898,MIDCAP
279,FINEORG,Fine Organic Industries Limited,1320495,MIDCAP
280,AFFLE,Affle (India) Limited,1315321,MIDCAP
281,GLENMARK,Glenmark Pharmaceuticals Limited,1311235,MIDCAP
282,NAM-INDIA,Nippon Life India Asset Management Limited,1308980,MIDCAP
283,SJVN,SJVN Limited,1306657,MIDCAP
284,REDINGTON,Redington Limited,1302471,MIDCAP
285,AAVAS,Aavas Financiers Limited,1273409,MIDCAP
286,IDFC,IDFC Limited,1256788,MIDCAP
287,FINCABLES,Finolex Cables Limited,1242785,MIDCAP
288,NUVOCO,Nuvoco Vistas Corporation Limited,1231832,MIDCAP
289,BAJAJELEC,Bajaj Electricals Limited,1210481,MIDCAP
290,APTUS,Aptus Value Housing Finance India Limited,1209715,MIDCAP
291,SUVENPHAR,Suven Pharmaceuticals Limited,1202565,MIDCAP
292,ASTERDM,Aster DM Healthcare Limited,1202328,MIDCAP
293,RHIM,RHI MAGNESITA INDIA LIMITED,1184941,MIDCAP
294,KEC,KEC International Limited,1173223,MIDCAP
295,SONATSOFTW,Sonata Software Limited,1172596,MIDCAP
296,AETHER,Aether Industries Limited,1166105,MIDCAP
297,DCMSHRIRAM,DCM Shriram Limited,1165513,MIDCAP
298,IEX,Indian Energy Exchange Limited,1140921,MIDCAP
299,HAPPSTMNDS,Happiest Minds Technologies Limited,1127692,MIDCAP
300,KIMS,Krishna Institute of Medical Sciences Limited,1121549,MIDCAP
301,ALKYLAMINE,Alkyl Amines Chemicals Limited,1101423,MIDCAP
302,CYIENT,Cyient Limited,1100498,MIDCAP
303,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1099205,MIDCAP
304,ASAHIINDIA,Asahi India Glass Limited,1099131,MIDCAP
305,CASTROLIND,Castrol India Limited,1097431,MIDCAP
306,BRIGADE,Brigade Enterprises Limited,1095283,MIDCAP
307,KALYANKJIL,Kalyan Jewellers India Limited,1085161,MIDCAP
308,TTML,Tata Teleservices (Maharashtra) Limited,1084007,MIDCAP
309,VGUARD,V-Guard Industries Limited,1080458,MIDCAP
310,NLCINDIA,NLC India Limited,1069790,MIDCAP
311,LAXMIMACH,Lakshmi Machine Works Limited,1066409,MIDCAP
312,TRITURBINE,Triveni Turbine Limited,1059007,MIDCAP
313,FINPIPE,Finolex Industries Limited,1058534,MIDCAP
314,AKZOINDIA,Akzo Nobel India Limited,1047678,MIDCAP
315,MANAPPURAM,Manappuram Finance Limited,1046990,MIDCAP
316,EIHOTEL,EIH Limited,1035916,MIDCAP
317,CENTURYPLY,Century Plyboards (India) Limited,1035770,MIDCAP
318,NATCOPHARM,Natco Pharma Limited,1028436,MIDCAP
319,KIOCL,KIOCL Limited,1024364,MIDCAP
320,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1022732,MIDCAP
321,CAMPUS,Campus Activewear Limited,1015519,MIDCAP
322,CAMS,Computer Age Management Services Limited,995035,MIDCAP
323,AMARAJABAT,Amara Raja Batteries Limited,989175,MIDCAP
324,ZYDUSWELL,Zydus Wellness Limited,986489,MIDCAP
325,BASF,BASF India Limited,985008,MIDCAP
326,TEJASNET,Tejas Networks Limited,977791,MIDCAP
327,APLLTD,Alembic Pharmaceuticals Limited,975641,MIDCAP
328,MGL,Mahanagar Gas Limited,971430,MIDCAP
329,GRINFRA,G R Infraprojects Limited,971338,MIDCAP
330,ANGELONE,Angel One Limited,970012,MIDCAP
331,SFL,Sheela Foam Limited,969705,MIDCAP
332,TTKPRESTIG,TTK Prestige Limited,969120,MIDCAP
333,APARINDS,Apar Industries Limited,958591,MIDCAP
334,HINDCOPPER,Hindustan Copper Limited,951068,MIDCAP
335,CDSL,Central Depository Services (India) Limited,949644,MIDCAP
336,GODFRYPHLP,Godfrey Phillips India Limited,946159,MIDCAP
337,RENUKA,Shree Renuka Sugars Limited,938664,MIDCAP
338,CUB,City Union Bank Limited,931814,MIDCAP
339,JKLAKSHMI,JK Lakshmi Cement Limited,931241,MIDCAP
340,ANURAS,Anupam Rasayan India Limited,929945,MIDCAP
341,MRPL,Mangalore Refinery and Petrochemicals Limited,920991,MIDCAP
342,GESHIP,The Great Eastern Shipping Company Limited,920206,MIDCAP
343,POLYMED,Poly Medicure Limited,914014,MIDCAP
344,NSLNISP,NMDC Steel Limited,909953,MIDCAP
345,BIKAJI,Bikaji Foods International Limited,904723,MIDCAP
346,MOTILALOFS,Motilal Oswal Financial Services Limited,902921,MIDCAP
347,ABSLAMC,Aditya Birla Sun Life AMC Limited,896256,MIDCAP
348,CESC,CESC Limited,883493,MIDCAP
349,TATAINVEST,Tata Investment Corporation Limited,882736,MIDCAP
350,ALLCARGO,Allcargo Logistics Limited,873816,MIDCAP
351,KALPATPOWR,Kalpataru Power Transmission Limited,867869,MIDCAP
352,PNBHOUSING,PNB Housing Finance Limited,866321,MIDCAP
353,HUDCO,Housing & Urban Development Corporation Limited,865822,MIDCAP
354,ITI,ITI Limited,856044,MIDCAP
355,ROUTE,ROUTE MOBILE LIMITED,852912,MIDCAP
356,RITES,RITES Limited,851990,MIDCAP
357,VTL,Vardhman Textiles Limited,849166,MIDCAP
358,RBLBANK,RBL Bank Limited,845961,MIDCAP
359,HFCL,HFCL Limited,839744,MIDCAP
360,KARURVYSYA,Karur Vysya Bank Limited,837096,MIDCAP
361,CERA,Cera Sanitaryware Limited,832773,MIDCAP
362,EIDPARRY,EID Parry India Limited,832025,MIDCAP
363,INGERRAND,Ingersoll Rand (India) Limited,826750,MIDCAP
364,GALAXYSURF,Galaxy Surfactants Limited,825883,MIDCAP
365,PPLPHARMA,Piramal Pharma Limited,816827,MIDCAP
366,UTIAMC,UTI Asset Management Company Limited,815164,MIDCAP
367,KRBL,KRBL Limited,813978,MIDCAP
368,RAYMOND,Raymond Limited,813564,MIDCAP
369,ASTRAZEN,AstraZeneca Pharma India Limited,813200,MIDCAP
370,VIPIND,VIP Industries Limited,811260,MIDCAP
371,ACI,Archean Chemical Industries Limited,800398,MIDCAP
372,BALRAMCHIN,Balrampur Chini Mills Limited,799363,MIDCAP
373,SUZLON,Suzlon Energy Limited,795774,MIDCAP
374,GODREJAGRO,Godrej Agrovet Limited,793048,MIDCAP
375,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,791626,MIDCAP
376,ERIS,Eris Lifesciences Limited,778012,MIDCAP
377,PGHL,Procter & Gamble Health Limited,777855,MIDCAP
378,MEDPLUS,Medplus Health Services Limited,775129,MIDCAP
379,SAPPHIRE,Sapphire Foods India Limited,774012,MIDCAP
380,DATAPATTNS,Data Patterns (India) Limited,770171,MIDCAP
381,SUNCLAYLTD,Sundaram Clayton Limited,762426,MIDCAP
382,JBMA,JBM Auto Limited,761512,MIDCAP
383,EASEMYTRIP,Easy Trip Planners Limited,757908,MIDCAP
384,CCL,CCL Products (India) Limited,755133,MIDCAP
385,EQUITASBNK,Equitas Small Finance Bank Limited,745185,MIDCAP
386,CHALET,Chalet Hotels Limited,744548,MIDCAP
387,RAINBOW,Rainbow Childrens Medicare Limited,741470,MIDCAP
388,PNCINFRA,PNC Infratech Limited,741142,MIDCAP
389,FSL,Firstsource Solutions Limited,735325,MIDCAP
390,KSB,Ksb Limited,729155,MIDCAP
391,BSOFT,BIRLASOFT LIMITED,717824,MIDCAP
