stock1 - stock2,corr
./data\20MICRONS.json - ./data\CREDITACC.json,-0.029059239943156658
./data\20MICRONS.json - ./data\CREST.json,0.020988430129634233
./data\20MICRONS.json - ./data\CRISIL.json,0.09404761033914738
./data\20MICRONS.json - ./data\CROMPTON.json,-0.01724818592888327
./data\20MICRONS.json - ./data\CROWN.json,0.03548344127793611
./data\20MICRONS.json - ./data\CSBBANK.json,-0.023080200215484386
./data\20MICRONS.json - ./data\CSLFINANCE.json,
./data\20MICRONS.json - ./data\CTE.json,0.037392894239339176
./data\20MICRONS.json - ./data\CUB.json,0.1791540713506972
./data\20MICRONS.json - ./data\CUBEXTUB.json,-0.019295485009258213
./data\20MICRONS.json - ./data\CUMMINSIND.json,0.13628964167630392
./data\20MICRONS.json - ./data\CUPID.json,0.02045479337391438
./data\20MICRONS.json - ./data\CYBERMEDIA.json,-0.017831722822646133
./data\20MICRONS.json - ./data\CYBERTECH.json,0.01552086634668829
./data\20MICRONS.json - ./data\CYIENT.json,0.09263490553798628
./data\20MICRONS.json - ./data\CYIENTDLM.json,
./data\20MICRONS.json - ./data\DAAWAT.json,0.18114202069934002
./data\20MICRONS.json - ./data\DABUR.json,0.14898056579760324
./data\20MICRONS.json - ./data\DALBHARAT.json,-0.19749913510413747
./data\20MICRONS.json - ./data\DALMIASUG.json,0.1482842033822776
./data\20MICRONS.json - ./data\DAMODARIND.json,-0.013234930348853919
./data\20MICRONS.json - ./data\DANGEE.json,0.13932932199039078
./data\20MICRONS.json - ./data\DATAMATICS.json,0.01844039520547411
./data\20MICRONS.json - ./data\DATAPATTNS.json,
./data\20MICRONS.json - ./data\DBCORP.json,0.035769646832438745
./data\20MICRONS.json - ./data\DBL.json,0.023143459734601392
./data\20MICRONS.json - ./data\DBOL.json,
./data\20MICRONS.json - ./data\DBREALTY.json,0.18239110633013486
./data\20MICRONS.json - ./data\DBSTOCKBRO.json,-0.03523468695567064
./data\20MICRONS.json - ./data\DCAL.json,0.03180241644516404
./data\20MICRONS.json - ./data\DCBBANK.json,0.182516444347268
./data\20MICRONS.json - ./data\DCI.json,-0.017235154512004584
./data\20MICRONS.json - ./data\DCM.json,0.1980860029287025
./data\20MICRONS.json - ./data\DCMFINSERV.json,-0.001980958270703171
./data\20MICRONS.json - ./data\DCMNVL.json,-0.1091049457247398
./data\20MICRONS.json - ./data\DCMSHRIRAM.json,0.1980860029287025
./data\20MICRONS.json - ./data\DCMSRIND.json,
./data\20MICRONS.json - ./data\DCW.json,0.24876949565667586
./data\20MICRONS.json - ./data\DCXINDIA.json,
./data\20MICRONS.json - ./data\DECCANCE.json,0.004470000122377335
./data\20MICRONS.json - ./data\DEEPAKFERT.json,0.19896310543039666
./data\20MICRONS.json - ./data\DEEPAKNTR.json,-0.015765169846045108
